Timestamp Start;Timestamp End;Run #;Tot Clients;Tot Avg X;Tot Avg R;Tot Avg U;CPU Demand;
2015-10-11 02:02:22;2015-10-11 02:05:22;1;1100;173;1;7.91268000000000000000;.09147606936416184971;
2015-10-11 02:08:11;2015-10-11 02:11:11;1;2200;351;1;13.07900000000000000000;.07452421652421652421;
2015-10-11 02:14:03;2015-10-11 02:17:03;1;3300;526;1;19.67385000000000000000;.07480551330798479087;
2015-10-11 02:20:03;2015-10-11 02:23:03;1;4400;699;1;25.95385000000000000000;.07425994277539341917;
2015-10-11 02:26:07;2015-10-11 02:29:07;1;5500;872;1;33.38700000000000000000;.07657568807339449541;
2015-10-11 02:32:17;2015-10-11 02:35:17;1;6600;1046;1;40.80890000000000000000;.07802848948374760994;
2015-10-11 02:38:29;2015-10-11 02:41:29;1;7700;1228;1;49.26530000000000000000;.08023664495114006514;
2015-10-11 02:44:44;2015-10-11 02:47:44;1;8800;1398;2;58.75270000000000000000;.08405250357653791130;
2015-10-11 02:51:02;2015-10-11 02:54:02;1;9900;1577;2;66.14875000000000000000;.08389188332276474318;
2015-10-11 02:57:20;2015-10-11 03:00:20;1;11000;1734;125;79.53895000000000000000;.09174042675893886966;
2015-10-11 03:03:24;2015-10-11 03:06:24;2;1100;175;1;6.96314000000000000000;.07957874285714285714;
2015-10-11 03:09:22;2015-10-11 03:12:22;2;2200;350;1;12.85700000000000000000;.07346857142857142857;
2015-10-11 03:15:18;2015-10-11 03:18:18;2;3300;524;1;19.29260000000000000000;.07363587786259541984;
2015-10-11 03:21:20;2015-10-11 03:24:20;2;4400;700;1;26.36800000000000000000;.07533714285714285714;
2015-10-11 03:27:19;2015-10-11 03:30:19;2;5500;874;1;33.96700000000000000000;.07772768878718535469;
2015-10-11 03:33:27;2015-10-11 03:36:27;2;6600;1050;1;40.72005000000000000000;.07756200000000000000;
2015-10-11 03:39:35;2015-10-11 03:42:35;2;7700;1226;1;48.83400000000000000000;.07966394779771615008;
2015-10-11 03:45:48;2015-10-11 03:48:48;2;8800;1394;1;57.65345000000000000000;.08271657101865136298;
2015-10-11 03:52:09;2015-10-11 03:55:09;2;9900;1570;14;66.76360000000000000000;.08504917197452229299;
2015-10-11 03:58:30;2015-10-11 04:01:30;2;11000;1731;164;80.73655000000000000000;.09328313113807047949;
2015-10-11 04:04:31;2015-10-11 04:07:31;3;1100;174;1;7.11457000000000000000;.08177666666666666666;
2015-10-11 04:10:19;2015-10-11 04:13:19;3;2200;351;1;13.17245000000000000000;.07505669515669515669;
2015-10-11 04:16:18;2015-10-11 04:19:18;3;3300;524;1;19.23840000000000000000;.07342900763358778625;
2015-10-11 04:22:13;2015-10-11 04:25:13;3;4400;698;1;25.76095000000000000000;.07381361031518624641;
2015-10-11 04:28:12;2015-10-11 04:31:12;3;5500;871;1;33.57070000000000000000;.07708541905855338691;
2015-10-11 04:34:18;2015-10-11 04:37:18;3;6600;1047;1;40.25795000000000000000;.07690152817574021012;
2015-10-11 04:40:31;2015-10-11 04:43:31;3;7700;1225;1;49.61620000000000000000;.08100604081632653061;
2015-10-11 04:46:49;2015-10-11 04:49:49;3;8800;1396;1;57.32475000000000000000;.08212714899713467048;
2015-10-11 04:53:07;2015-10-11 04:56:07;3;9900;1572;12;68.62790000000000000000;.08731284987277353689;
2015-10-11 04:59:29;2015-10-11 05:02:29;3;11000;1751;19;77.15715000000000000000;.08812924043403769274;
2015-10-11 05:05:29;2015-10-11 05:08:29;4;1100;175;1;6.96771500000000000000;.07963102857142857142;
2015-10-11 05:11:17;2015-10-11 05:14:17;4;2200;348;1;12.83370000000000000000;.07375689655172413793;
